0	Date	Open	High	Low	Close	
	2023-11-11	34979.4	35069.84	34414.0	34842.25	
	2023-11-10	34438.05	35189.44	34061.65	34967.12	
	2023-11-09	33307.53	35481.18	33222.14	34436.47	
	2023-11-08	33135.87	33747.19	32869.15	33306.05	
	2023-11-07	32718.04	33570.28	32354.54	33126.6	
	2023-11-06	32668.86	32863.56	32383.29	32713.63	
	2023-11-05	32757.68	33031.2	32164.54	32672.6	
	2023-11-04	32418.71	32945.58	32298.9	32760.83	
	2023-11-03	32963.52	32968.28	32020.01	32419.9	
	2023-11-02	33522.15	33995.05	32350.88	32962.83	
	2023-11-01	32790.78	33723.94	32314.96	33518.23	
	2023-10-31	32530.59	32857.12	32069.82	32790.79	
	2023-10-30	32760.32	32937.15	32178.46	32531.23	
	2023-10-29	32314.82	32975.41	32174.84	32756.2	
	2023-10-28	32099.63	32663.83	32060.02	32315.74	
	2023-10-27	32358.2	32466.59	31636.34	32099.63	
	2023-10-26	32683.37	33035.06	32052.25	32358.18	
	2023-10-25	32032.5	33238.96	31840.23	32689.87	
	2023-10-24	30994.93	33009.03	30783.94	32031.74	
	2023-10-23	28351.52	32832.0	28252.03	30992.13	
	2023-10-22	28277.56	28578.99	28019.38	28345.39	
	2023-10-21	28039.76	28698.18	27848.64	28280.73	
	2023-10-20	27164.16	28565.41	27074.74	28035.9	
	2023-10-19	26907.08	27316.63	26720.11	27166.72	
	2023-10-18	26885.84	27422.14	26714.84	26908.68	
	2023-10-17	27044.15	27134.3	26628.01	26892.39	
	2023-10-16	25841.18	28597.43	25806.0	27047.14	
	2023-10-15	25593.8	25965.87	25555.8	25831.52	
	2023-10-14	25583.8	25705.98	25545.0	25593.88	
	2023-10-13	25411.26	25833.69	25388.81	25583.59	
	2023-10-12	25316.94	25435.15	25130.81	25413.17	
	2023-10-11	25845.49	25919.95	25071.76	25318.58	
	2023-10-10	26103.47	26246.2	25779.64	25846.3	
	2023-10-09	26460.71	26528.33	25879.17	26101.17	
	2023-10-08	26466.78	26592.13	26216.5	26457.16	
	2023-10-07	26427.47	26522.49	26347.6	26465.36	
	2023-10-06	26018.62	26746.21	25927.02	26429.94	
	2023-10-05	26464.63	26738.05	25988.74	26012.81	
	2023-10-04	26214.3	26509.71	26000.0	26464.64	
	2023-10-03	26251.41	26439.38	25975.57	26216.8	
	2023-10-02	26521.07	27174.83	26071.69	26255.3	
	2023-10-01	25534.98	26666.55	25526.86	26519.71	
	2023-09-30	25471.09	25647.44	25446.45	25534.98	
	2023-09-29	25607.86	25710.2	25223.49	25469.98	
	2023-09-28	25105.69	25838.63	25060.22	25604.18	
	2023-09-27	24811.45	25459.99	24803.78	25099.43	
	2023-09-26	24844.53	24956.29	24663.13	24809.95	
	2023-09-25	24670.67	24981.41	24425.06	24844.53	
	2023-09-24	25005.92	25153.47	24565.04	24677.93	
	2023-09-23	25009.44	25056.88	24946.39	25006.9	
	2023-09-22	24940.17	25127.38	24871.0	25009.44	
	2023-09-21	25495.42	25558.96	24790.08	24945.14	
	2023-09-20	25517.74	25668.53	25106.11	25493.15	
	2023-09-19	25060.09	25750.82	24971.46	25507.2	
	2023-09-18	24876.69	25749.89	24742.8	25066.62	
	2023-09-17	24920.16	24970.5	24734.65	24873.85	
	2023-09-16	24990.7	25147.08	24826.11	24920.43	
	2023-09-15	24968.3	25251.87	24604.16	24990.86	
	2023-09-14	24474.3	25262.09	24370.94	24965.7	
	Date	Open	High	Low	Close	
	2024-03-17	60102.67	63373.2	59384.93	62937.54	
	2024-03-16	63950.11	64440.12	59621.0	60105.98	
	2024-03-15	65641.38	66588.41	60161.67	63932.39	
	2024-03-14	66806.95	67462.84	63006.2	65641.37	
	2024-03-13	65420.75	67324.65	65302.57	66794.5	
	2024-03-12	65321.46	66555.0	62500.0	65433.53	
	2024-03-11	63104.82	66500.0	61300.0	65323.43	
	2024-03-10	62578.01	63975.23	62279.23	63108.39	
	2024-03-09	62457.93	62811.42	62214.92	62575.41	
	2024-03-08	61161.39	63987.56	60459.98	62455.93	
	2024-03-07	60719.43	62375.0	60209.58	61162.23	
	2024-03-06	58820.69	62318.57	57933.82	60713.19	
	2024-03-05	62862.29	63530.0	52960.0	58809.63	
	2024-03-04	58231.05	63143.56	57333.0	62836.25	
	2024-03-03	57235.04	58358.64	56592.87	58240.78	
	2024-03-02	57592.97	57643.18	56803.07	57232.82	
	2024-03-01	56199.1	58249.0	56031.65	57582.66	
	2024-02-29	57571.66	58550.0	55555.0	56276.27	
	2024-02-28	52612.09	59037.18	52329.83	57572.1	
	2024-02-27	50198.43	53130.99	50172.0	52617.38	
	2024-02-26	47780.79	50600.0	46992.56	50198.43	
	2024-02-25	47638.91	48000.0	47390.96	47784.06	
	2024-02-24	46934.63	47785.77	46776.46	47638.91	
	2024-02-23	47410.09	47631.61	46731.06	46920.72	
	2024-02-22	47964.14	48156.98	47050.0	47407.85	
	2024-02-21	48372.3	48478.79	46891.31	47969.03	
	2024-02-20	48089.66	49028.75	47000.0	48372.02	
	2024-02-19	48392.53	48724.2	48000.01	48083.61	
	2024-02-18	47978.74	48636.66	47529.8	48384.23	
	2024-02-17	48428.5	48463.38	46950.0	47978.74	
	2024-02-16	48218.28	48968.53	47914.55	48428.5	
	2024-02-15	48354.88	49072.04	47709.49	48224.79	
	2024-02-14	46429.06	48585.0	45989.62	48354.88	
	2024-02-13	46274.79	46708.57	45076.51	46421.92	
	2024-02-12	44621.99	46692.71	44100.0	46274.78	
	2024-02-11	44206.94	44850.0	44001.0	44605.89	
	2024-02-10	43686.67	44560.0	43383.38	44205.4	
	2024-02-09	42059.61	44660.0	42015.77	43686.74	
	2024-02-08	41143.13	42332.11	41125.55	42059.86	
	2024-02-07	40055.17	41223.88	39745.01	41129.17	
	2024-02-06	39737.11	40348.47	39599.3	40039.2	
	2024-02-05	39544.75	40532.62	39248.97	39737.11	
	2024-02-04	39893.28	39991.33	39200.0	39540.15	
	2024-02-03	40018.25	40186.23	39736.64	39884.06	
	2024-02-02	39647.49	40256.41	39267.0	40022.71	
	2024-02-01	39407.46	39830.0	38725.76	39645.97	
	2024-01-31	39638.07	40334.92	39129.29	39413.05	
	2024-01-30	39997.27	40492.58	39406.67	39638.18	
	2024-01-29	38786.6	40100.0	38649.03	39997.27	
	2024-01-28	38918.73	39531.66	38413.24	38793.92	
	2024-01-27	38574.95	38981.36	38175.65	38918.72	
	2024-01-26	36861.08	38909.23	36759.99	38570.3	
	2024-01-25	36844.02	37022.98	36464.21	36865.01	
	2024-01-24	36786.42	37218.51	36320.0	36844.02	
	2024-01-23	36381.64	36883.8	35473.04	36786.45	
	2024-01-22	38201.44	38264.04	36232.6	36381.56	
	2024-01-21	38318.37	38487.94	38130.68	38201.42	
	2024-01-20	38262.23	38526.87	38036.63	38308.02	
	2024-01-19	38002.29	38731.54	37030.0	38257.94	
	2024-01-18	39313.07	39412.17	37411.6	37991.71	
	2024-01-17	39694.19	39741.74	38872.94	39313.07	
	2024-01-16	38858.51	40091.35	38723.96	39699.47	
	2024-01-15	38185.16	39640.18	38165.16	38854.64	
	2024-01-14	39281.04	39508.22	38177.0	38185.16	
	2024-01-13	39201.96	39691.81	38882.5	39272.03	
	2024-01-12	42267.01	42439.72	38051.0	39190.23	
	2024-01-11	42593.8	44776.01	41642.0	42270.75	
	2024-01-10	42252.6	43539.99	40564.9	42569.94	
	2024-01-09	42945.19	43952.0	41190.2	42255.65	
	2024-01-08	40271.85	43214.0	39559.51	42943.93	
	2024-01-07	40334.36	40869.11	40000.0	40264.51	
	2024-01-06	40492.4	40552.44	39855.93	40336.49	
	2024-01-05	40447.2	40678.98	38965.0	40463.66	
	2024-01-04	39383.52	40980.7	39068.99	40438.6	
	2024-01-03	41167.6	41627.4	38000.0	39384.84	
	2024-01-02	40117.27	41901.99	40084.23	41145.87	
	2024-01-01	38423.69	40133.79	38353.53	40113.43	
	2023-12-31	38330.27	38960.0	38165.49	38422.26	
	2023-12-30	38230.31	38727.25	37749.45	38330.84	
	2023-12-29	38547.78	39074.62	37550.0	38233.18	
	2023-12-28	39153.84	39488.79	38191.68	38547.43	
	2023-12-27	38564.21	39390.26	38219.72	39144.69	
